epoch_pct,data_idx,acc_real,acc_fake,loss_real,loss_fake,avg_confidence_real,avg_confidence_fake
0.054819,8192,0.999512,1.000000,0.001527,0.001148,0.998890,0.998852
0.219278,32768,0.997070,0.996582,0.009533,0.013730,0.993504,0.995045
0.383736,57344,0.997070,1.000000,0.012173,0.001787,0.990047,0.998217
0.548195,81920,0.995117,0.996582,0.048756,0.037921,0.956514,0.967331
0.712653,106496,0.988770,1.000000,0.041769,0.005765,0.970569,0.994309
0.877111,131072,0.998535,0.977051,0.025338,0.107337,0.976754,0.916797
1.041570,155648,0.964844,0.991211,0.099402,0.049771,0.932867,0.963673
1.206028,180224,0.974609,0.992676,0.085721,0.046309,0.937412,0.963343
1.370486,204800,0.935059,0.999512,0.161230,0.010521,0.904587,0.990109
1.534945,229376,0.956055,0.975586,0.140167,0.092374,0.905908,0.946501
1.699403,253952,0.980957,0.999512,0.064945,0.018133,0.950115,0.982663
1.863861,278528,0.976562,0.979004,0.096985,0.112101,0.921882,0.909901
2.028320,303104,0.987305,0.977539,0.058252,0.114048,0.951634,0.905999
2.192778,327680,0.944824,0.997559,0.133290,0.035748,0.910406,0.967833
2.357237,352256,0.918945,0.999023,0.193860,0.014695,0.880297,0.986358
2.521695,376832,0.980957,0.994629,0.064477,0.041149,0.953535,0.963403
2.686153,401408,0.983887,0.996094,0.063945,0.047266,0.951470,0.957570
2.850612,425984,0.959473,0.992676,0.121879,0.043332,0.919656,0.961666
3.015070,450560,0.976562,0.994629,0.079383,0.057836,0.944708,0.948955
3.179528,475136,0.988281,0.946289,0.056064,0.172714,0.952984,0.871287
3.343987,499712,0.985840,0.966797,0.073578,0.153502,0.940232,0.877983
3.508445,524288,0.978027,0.970215,0.104615,0.125848,0.920549,0.897100
3.672903,548864,0.954590,0.979980,0.173982,0.107470,0.868521,0.909279
3.837362,573440,0.982910,0.959961,0.095048,0.143056,0.922961,0.889273
4.001820,598016,0.943848,0.982422,0.182904,0.093886,0.866431,0.921848
4.166279,622592,0.953613,0.985840,0.144650,0.078453,0.897518,0.935931
4.330737,647168,0.963379,0.998535,0.112986,0.025914,0.920660,0.975951
4.495195,671744,0.953613,0.994141,0.136107,0.043483,0.906467,0.961732
4.659654,696320,0.917969,0.999023,0.213204,0.023740,0.874173,0.978092
4.824112,720896,0.970215,0.992188,0.101244,0.049238,0.931529,0.958158
4.988570,745472,0.945312,0.993164,0.149107,0.042631,0.908954,0.963110
5.153029,770048,0.972656,0.995605,0.079419,0.025701,0.951069,0.978448
5.317487,794624,0.973633,0.975098,0.082873,0.087735,0.940279,0.930254
5.481945,819200,0.953613,0.995117,0.130917,0.031994,0.922127,0.972703
5.646404,843776,0.982422,0.965820,0.067619,0.118017,0.949496,0.912818
5.810862,868352,0.926758,0.997559,0.181756,0.018813,0.898563,0.983405
5.975321,892928,0.959961,0.985840,0.117282,0.065586,0.926323,0.949656
6.139779,917504,0.942871,0.997070,0.156920,0.017779,0.913580,0.985281
6.304237,942080,0.968262,0.980957,0.101638,0.075292,0.929770,0.939098
6.468696,966656,0.968750,0.988281,0.098859,0.061397,0.933783,0.949967
6.633154,991232,0.935547,0.999023,0.199974,0.009914,0.893474,0.991290
6.797612,1015808,0.972656,0.965332,0.106839,0.122697,0.923358,0.907677
6.962071,1040384,0.978027,0.940918,0.086909,0.155409,0.933033,0.892662
7.126529,1064960,0.972656,0.969238,0.101897,0.108104,0.929028,0.918430
7.290987,1089536,0.975098,0.992676,0.085793,0.031958,0.940434,0.972799
7.455446,1114112,0.978516,0.960938,0.077274,0.106208,0.947024,0.926250
