epoch_pct,data_idx,acc_real,acc_fake,loss_real,loss_fake,avg_confidence_real,avg_confidence_fake
0.001816,256,0.998047,1.000000,0.005230,0.004390,0.996877,0.995619
0.010898,1536,0.995117,1.000000,0.011244,0.009754,0.991418,0.990295
0.019980,2816,0.937012,0.999023,0.178716,0.123782,0.914216,0.887071
0.029062,4096,0.988770,1.000000,0.048432,0.009010,0.961729,0.991069
0.038144,5376,0.983398,0.997070,0.072073,0.042845,0.941923,0.960892
0.047226,6656,0.982422,0.998535,0.074356,0.035265,0.941779,0.968013
0.056308,7936,0.976562,0.991211,0.107286,0.055402,0.916281,0.955837
0.065390,9216,0.972168,0.997559,0.099218,0.023654,0.923396,0.978285
0.076288,10752,0.974609,0.972168,0.102020,0.097147,0.921688,0.923671
0.107166,15104,0.973145,0.989258,0.110260,0.053168,0.917596,0.955551
0.161657,22784,0.993164,0.937988,0.037534,0.186400,0.971610,0.861795
0.201618,28416,0.990723,0.947754,0.074691,0.208772,0.937757,0.831364
0.248843,35072,0.980957,0.920410,0.083623,0.261589,0.932364,0.794184
0.332397,46848,0.952637,0.968262,0.121047,0.143511,0.917697,0.883970
0.419583,59136,0.994629,0.905762,0.037826,0.243236,0.967925,0.822859
0.530382,74752,0.997559,0.700195,0.011008,0.591994,0.990906,0.653652
0.621201,87552,0.991699,0.973145,0.041082,0.147878,0.966227,0.882266
0.717468,101120,0.998535,0.588867,0.015106,0.759879,0.987276,0.574085
0.859146,121088,0.998535,0.630371,0.020355,0.670628,0.982670,0.587195
0.964496,135936,0.987793,0.879883,0.052815,0.296657,0.959969,0.788730
1.073478,151296,0.991211,0.933594,0.046013,0.205998,0.965143,0.840461
1.198808,168960,0.978027,0.945312,0.078553,0.186049,0.945290,0.857668
1.271463,179200,0.964844,0.943848,0.094881,0.196766,0.931721,0.849548
1.416773,199680,0.999512,0.625977,0.017662,0.662816,0.983768,0.598778
1.485795,209408,0.985840,0.975098,0.066756,0.126537,0.950454,0.896592
1.567532,220928,0.981445,0.943848,0.068224,0.208271,0.949681,0.839153
1.642004,231424,0.972656,0.947754,0.086058,0.193449,0.936676,0.848442
1.740088,245248,0.995605,0.612793,0.032649,0.716728,0.972610,0.585329
1.885398,265728,0.999512,0.575684,0.025792,0.707252,0.976983,0.560871
1.983482,279552,0.983398,0.963379,0.065193,0.159694,0.951694,0.875010
2.076117,292608,0.984863,0.921387,0.045265,0.205624,0.965938,0.860046
2.195998,309504,0.995117,0.669922,0.025504,0.626423,0.979581,0.626490
2.290450,322816,0.976562,0.958984,0.074803,0.140358,0.947725,0.890007
2.403065,338688,0.962891,0.989258,0.099721,0.131585,0.925805,0.885529
2.482986,349952,0.981934,0.874023,0.073465,0.317767,0.944971,0.785121
2.566539,361728,0.980957,0.955078,0.058505,0.151796,0.959034,0.886866
2.651909,373760,0.992188,0.737305,0.045681,0.516366,0.966364,0.679793
2.784504,392448,0.992676,0.694824,0.037667,0.580397,0.969563,0.642646
2.868057,404224,0.982910,0.937012,0.066334,0.217909,0.949335,0.836844
2.991571,421632,0.985352,0.889160,0.063503,0.286709,0.953391,0.794852
3.093288,435968,0.988281,0.968750,0.071078,0.216982,0.941481,0.820250
3.216801,453376,0.999023,0.726562,0.027373,0.535502,0.975340,0.656191
3.309437,466432,0.979492,0.967773,0.071846,0.115121,0.953626,0.910292
3.429317,483328,0.995117,0.685059,0.034647,0.599194,0.971846,0.625849
3.556464,501248,0.994141,0.938965,0.042422,0.208827,0.966283,0.843394
3.689059,519936,0.985352,0.927246,0.052287,0.199698,0.962459,0.853995
3.750816,528640,0.997070,0.578613,0.031821,0.753200,0.973343,0.576325
3.832553,540160,0.994141,0.926758,0.045906,0.220650,0.960833,0.840624
3.890677,548352,0.973633,0.958008,0.089569,0.139499,0.935911,0.896049
4.026905,567552,0.994141,0.776367,0.035604,0.471370,0.970767,0.700963
4.128622,581888,0.994629,0.662598,0.039335,0.617617,0.967514,0.621173
4.233972,596736,0.987793,0.953613,0.053266,0.154376,0.963210,0.879605
4.353853,613632,0.994141,0.775391,0.039633,0.448534,0.967260,0.698782
4.459202,628480,0.990723,0.761719,0.042673,0.487783,0.965576,0.697334
4.542756,640256,0.986816,0.875977,0.055097,0.296410,0.957988,0.797566
4.682617,659968,0.994629,0.736816,0.033444,0.533469,0.971735,0.656187
4.802498,676864,0.983887,0.922363,0.066744,0.242175,0.954292,0.815633
4.915113,692736,0.975586,0.922852,0.079370,0.206907,0.945748,0.845471
4.975053,701184,0.992188,0.753418,0.047148,0.477395,0.961042,0.704758
5.111281,720384,0.991211,0.812012,0.043710,0.401208,0.966242,0.735462
5.193018,731904,0.974121,0.939453,0.093566,0.207054,0.927443,0.845124
5.251142,740096,0.976562,0.937988,0.077645,0.185164,0.946040,0.863773
5.354676,754688,0.980469,0.897461,0.063857,0.259243,0.956115,0.815315
5.480006,772352,0.999023,0.675293,0.030604,0.609724,0.972659,0.621747
5.623499,792576,0.995605,0.697266,0.039428,0.593140,0.966427,0.643431
5.697971,803072,0.991699,0.935059,0.041789,0.189999,0.966739,0.862327
5.796055,816896,0.992676,0.902344,0.041081,0.249553,0.967462,0.818652
5.914119,833536,0.984863,0.906738,0.056333,0.255268,0.959683,0.818436
5.995856,845056,0.981934,0.936523,0.071322,0.186598,0.945491,0.859798
6.113921,861696,0.996094,0.574707,0.033434,0.718924,0.972889,0.568767
6.257415,881920,0.997070,0.650391,0.032164,0.629338,0.971721,0.608968
6.353682,895488,0.984375,0.914551,0.063467,0.246085,0.953916,0.818593
6.497176,915712,0.993652,0.828125,0.041031,0.384276,0.966743,0.730514
6.597077,929792,0.990723,0.800293,0.043240,0.434542,0.964123,0.720915
6.700610,944384,0.985352,0.954590,0.062343,0.151777,0.954148,0.882295
6.747836,951040,0.979492,0.957031,0.077763,0.159007,0.941735,0.876056
6.804144,958976,0.994629,0.777344,0.041517,0.472509,0.966252,0.689622
6.949454,979456,0.988770,0.898438,0.053958,0.268582,0.959339,0.805749
7.072967,996864,0.994629,0.754883,0.033974,0.480838,0.971489,0.688323
7.178317,1011712,0.996094,0.727051,0.036148,0.506954,0.970002,0.674431
7.265503,1024000,0.994141,0.694336,0.045146,0.569344,0.965187,0.642198
7.347240,1035520,0.973145,0.936523,0.087447,0.212989,0.936156,0.839021
7.434426,1047808,0.968262,0.962891,0.097444,0.143013,0.928535,0.886187
7.514347,1059072,0.992676,0.885742,0.042567,0.290868,0.964071,0.795082
7.596083,1070592,0.968750,0.989258,0.094170,0.061820,0.935970,0.947716
7.694168,1084416,0.993164,0.768555,0.043834,0.482718,0.963910,0.687638
7.821314,1102336,0.964355,0.966309,0.099763,0.133772,0.929695,0.894225
7.912133,1115136,0.968262,0.963379,0.108157,0.158597,0.919802,0.877056
8.033830,1132288,0.985840,0.900391,0.058979,0.259597,0.954813,0.811416
8.153711,1149184,0.977539,0.939453,0.062283,0.209486,0.953726,0.839174
8.295388,1169152,0.985352,0.818848,0.056050,0.383119,0.956874,0.737997
8.427984,1187840,0.988770,0.773438,0.053271,0.456342,0.957350,0.694722
8.551497,1205248,0.991699,0.833984,0.049507,0.395708,0.959872,0.721918
8.662296,1220864,0.995117,0.651855,0.041812,0.627120,0.963959,0.604197
8.778544,1237248,0.984863,0.915527,0.060326,0.251705,0.955006,0.815494
8.867546,1249792,0.961426,0.978516,0.103892,0.114212,0.927190,0.906359
8.958365,1262592,0.974121,0.974609,0.074379,0.108892,0.947712,0.912111
9.000142,1268480,0.973145,0.906250,0.100953,0.281620,0.923017,0.794245
9.125472,1286144,0.979980,0.889648,0.073345,0.290884,0.944261,0.790496
9.247169,1303296,0.994141,0.696289,0.042546,0.565085,0.964312,0.641843
9.352519,1318144,0.982422,0.924805,0.067990,0.242697,0.946057,0.819211
9.454236,1332480,0.986816,0.841309,0.063782,0.377994,0.948926,0.735769
9.575933,1349632,0.994629,0.763672,0.048348,0.461043,0.957764,0.690456
9.697630,1366784,0.982422,0.897461,0.064406,0.271388,0.950344,0.799865
9.806613,1382144,0.974121,0.930664,0.076122,0.206531,0.945377,0.842121
9.941025,1401088,0.963867,0.954590,0.097539,0.159744,0.932073,0.874665
10.037292,1414656,0.978027,0.940430,0.080906,0.200489,0.937929,0.848708
10.148091,1430272,0.994629,0.565918,0.048709,0.791115,0.959222,0.552536
10.262523,1446400,0.976562,0.964844,0.068962,0.126670,0.949051,0.899168
10.362424,1460480,0.978516,0.909668,0.080456,0.236018,0.940359,0.830392
10.465957,1475072,0.988770,0.790039,0.056529,0.423743,0.956310,0.713806
10.533163,1484544,0.990723,0.829102,0.053593,0.369214,0.955439,0.745023
10.633064,1498624,0.963867,0.957031,0.100022,0.155202,0.930916,0.876758
10.740230,1513728,0.975586,0.908203,0.075061,0.229707,0.942605,0.835184
10.816518,1524480,0.953613,0.956055,0.117442,0.160440,0.920447,0.876129
10.941848,1542144,0.981445,0.936035,0.066598,0.210774,0.949134,0.841916
11.030850,1554688,0.967773,0.960449,0.102875,0.126128,0.931102,0.899698
11.110771,1565952,0.981445,0.937012,0.069126,0.178490,0.948174,0.876165
11.237917,1583872,0.993652,0.851074,0.043076,0.346875,0.964850,0.755028
11.343267,1598720,0.981934,0.816406,0.072276,0.394865,0.946661,0.728427
11.395942,1606144,0.975586,0.936035,0.091072,0.197756,0.930469,0.848883
11.504924,1621504,0.989258,0.742188,0.051290,0.509842,0.960246,0.679054
11.622989,1638144,0.996582,0.727539,0.042156,0.502122,0.963059,0.671156
11.717440,1651456,0.983887,0.912598,0.066384,0.232031,0.947403,0.829975
11.824606,1666560,0.979004,0.958496,0.069816,0.136355,0.948832,0.891250
11.897261,1676800,0.968750,0.921875,0.088358,0.241355,0.936061,0.820871
12.018958,1693952,0.974121,0.912109,0.086568,0.251252,0.933128,0.816370
12.146105,1711872,0.990234,0.715820,0.058479,0.522507,0.954732,0.669686
12.251455,1726720,0.994141,0.633301,0.049140,0.637181,0.957806,0.597041
12.344090,1739776,0.953613,0.968750,0.121741,0.114313,0.920099,0.909831
12.471236,1757696,0.989746,0.846680,0.061190,0.361325,0.949854,0.747208
12.572953,1772032,0.962402,0.946777,0.101319,0.181082,0.931291,0.861732
12.656506,1783808,0.981934,0.926270,0.073782,0.202701,0.944862,0.850315
12.741876,1795840,0.956055,0.978516,0.118410,0.121783,0.915045,0.899139
12.841777,1809920,0.973145,0.945801,0.088507,0.167791,0.933545,0.872073
12.941677,1824000,0.991699,0.687012,0.064718,0.585192,0.945947,0.638150
13.050660,1839360,0.968262,0.968750,0.103236,0.131652,0.926158,0.895021
13.145111,1852672,0.974609,0.948730,0.084901,0.156839,0.938298,0.882411
13.270441,1870336,0.986328,0.866211,0.063205,0.314489,0.948421,0.780496
13.399404,1888512,0.982422,0.845703,0.073278,0.347020,0.945917,0.762982
13.513836,1904640,0.991211,0.667969,0.050784,0.619247,0.957762,0.638495
13.619185,1919488,0.958496,0.947754,0.128352,0.177146,0.909299,0.864331
13.693657,1929984,0.967773,0.910645,0.101529,0.230896,0.924649,0.831307
13.802639,1945344,0.974609,0.896484,0.090230,0.262379,0.932389,0.814413
13.927969,1963008,0.992188,0.792969,0.055646,0.429087,0.955545,0.718628
14.020605,1976064,0.971191,0.937012,0.087891,0.184019,0.935099,0.867010
14.080545,1984512,0.961914,0.949219,0.124971,0.162621,0.913979,0.877676
14.182262,1998848,0.957520,0.965820,0.126305,0.111244,0.915927,0.912352
14.278530,2012416,0.994629,0.695801,0.051642,0.589380,0.954737,0.655527
14.351185,2022656,0.981934,0.908203,0.086888,0.215580,0.931251,0.844994
14.443820,2035712,0.974609,0.898438,0.092065,0.245994,0.932170,0.825331
14.527373,2047488,0.977539,0.949707,0.080689,0.160645,0.937572,0.879745
14.605478,2058496,0.979492,0.923340,0.077343,0.188271,0.939544,0.860727
14.707195,2072832,0.992188,0.556152,0.056965,0.764798,0.952878,0.553822
14.817993,2088448,0.992188,0.669434,0.054441,0.614102,0.954793,0.628464
14.957854,2108160,0.982910,0.884277,0.080383,0.293921,0.939967,0.795436
15.103164,2128640,0.982422,0.825195,0.078363,0.375860,0.936415,0.743655
15.215780,2144512,0.951172,0.965820,0.127329,0.118112,0.913128,0.908285
15.339293,2161920,0.993652,0.802734,0.052295,0.393304,0.956092,0.738409
15.391968,2169344,0.986328,0.934082,0.075864,0.192568,0.938917,0.855600
15.486420,2182656,0.982422,0.924805,0.068810,0.204597,0.945155,0.850975
15.593586,2197760,0.985840,0.879395,0.062415,0.286633,0.950233,0.797664
15.713467,2214656,0.975586,0.959473,0.079089,0.123051,0.942642,0.906187
15.804286,2227456,0.969727,0.917480,0.100010,0.229631,0.927672,0.833982
15.922350,2244096,0.973633,0.885254,0.093899,0.285580,0.933164,0.801292
16.020434,2257920,0.980469,0.935059,0.079249,0.197626,0.937894,0.848586
16.107620,2270208,0.968262,0.967773,0.098864,0.117816,0.931229,0.907093
16.209337,2284544,0.985840,0.853027,0.062091,0.330283,0.950090,0.776035
16.307422,2298368,0.968750,0.954590,0.088799,0.145799,0.936235,0.888238
16.380077,2308608,0.980469,0.851074,0.065563,0.325613,0.949519,0.784360
16.445466,2317824,0.963867,0.952148,0.115221,0.179562,0.915214,0.859397
16.552632,2332928,0.978516,0.971191,0.085224,0.128590,0.939722,0.896938
16.630736,2343936,0.985840,0.796387,0.070554,0.421364,0.943302,0.719664
16.736086,2358784,0.971680,0.942383,0.089584,0.199866,0.932466,0.843170
16.812374,2369536,0.945801,0.961426,0.127544,0.139150,0.909251,0.890919
16.905009,2382592,0.958008,0.938477,0.116846,0.185412,0.922476,0.867562
17.013992,2397952,0.953613,0.971680,0.114600,0.118542,0.920002,0.906947
17.081198,2407424,0.967285,0.933594,0.097556,0.205717,0.925440,0.852945
17.226508,2427904,0.991211,0.736328,0.056825,0.535837,0.952895,0.666006
17.346389,2444800,0.960449,0.920898,0.112814,0.231051,0.919852,0.831776
17.484433,2464256,0.975586,0.926758,0.077413,0.204052,0.943630,0.853783
17.607947,2481664,0.979492,0.812500,0.081585,0.406160,0.937252,0.736725
17.711480,2496256,0.965332,0.961914,0.121171,0.134416,0.913950,0.894927
17.775053,2505216,0.940430,0.953613,0.151691,0.154023,0.895055,0.884048
17.894934,2522112,0.955078,0.966309,0.131041,0.129024,0.910859,0.897177
18.003917,2537472,0.989746,0.898438,0.063884,0.249777,0.948323,0.825377
18.129246,2555136,0.976074,0.913574,0.083089,0.235470,0.938107,0.837408
18.221882,2568192,0.953125,0.941895,0.134106,0.173389,0.910762,0.871550
18.365375,2588416,0.968262,0.922363,0.099493,0.210698,0.926360,0.848606
18.461643,2601984,0.970215,0.925781,0.106877,0.210930,0.918438,0.843429
18.597871,2621184,0.989746,0.812988,0.059093,0.379083,0.952421,0.748573
18.690507,2634240,0.986328,0.865723,0.063727,0.315193,0.949622,0.788147
18.761345,2644224,0.958008,0.933594,0.123239,0.188280,0.913387,0.867372
18.866695,2659072,0.973633,0.946289,0.098976,0.169368,0.924980,0.873140
18.921186,2666752,0.943359,0.960938,0.160958,0.137073,0.889603,0.894387
19.037434,2683136,0.985840,0.889648,0.065374,0.268846,0.948162,0.816550
19.122804,2695168,0.983887,0.913574,0.086040,0.231067,0.931494,0.831715
19.177295,2702848,0.954590,0.953125,0.142468,0.154520,0.904806,0.881672
19.288094,2718464,0.982910,0.875977,0.063397,0.294197,0.949430,0.797633
19.386179,2732288,0.965820,0.856445,0.099179,0.323003,0.927317,0.782850
19.486079,2746368,0.972656,0.964844,0.098027,0.119064,0.927969,0.906881
