epoch_pct,data_idx,acc_real,acc_fake,loss_real,loss_fake,avg_confidence_real,avg_confidence_fake
0.001816,256,0.994629,1.000000,0.016909,0.003083,0.990917,0.996922
0.010898,1536,0.949707,1.000000,0.145318,0.039900,0.941652,0.960888
0.019980,2816,0.981445,1.000000,0.050025,0.007530,0.972397,0.992500
0.032695,4608,0.960938,1.000000,0.122125,0.023450,0.908290,0.976963
0.047226,6656,0.970215,1.000000,0.166728,0.063283,0.861429,0.939514
0.063573,8960,0.968750,1.000000,0.143902,0.029185,0.885509,0.971555
0.078104,11008,0.980957,1.000000,0.105830,0.039766,0.916917,0.961362
0.094452,13312,0.979980,1.000000,0.113610,0.031116,0.910841,0.969749
0.108983,15360,0.952637,0.997559,0.173236,0.045785,0.864932,0.957771
0.121697,17152,0.951172,0.996094,0.179150,0.060956,0.877012,0.944534
0.134412,18944,0.979980,0.994141,0.098375,0.085680,0.927489,0.923511
0.148943,20992,0.974609,0.994629,0.089419,0.058241,0.938380,0.947919
0.163474,23040,0.963867,0.992188,0.115984,0.117950,0.921226,0.894920
0.188903,26624,0.975586,0.984375,0.084833,0.142677,0.947089,0.877003
0.212516,29952,0.948242,0.998535,0.140909,0.071130,0.910130,0.934286
0.237945,33536,0.908203,0.986816,0.205250,0.130162,0.879341,0.884613
0.267007,37632,0.927734,0.993652,0.177651,0.079648,0.887373,0.929298
0.290620,40960,0.933594,0.994629,0.159380,0.072098,0.900485,0.935447
0.317866,44800,0.898926,0.997070,0.238530,0.050540,0.856553,0.953997
0.356010,50176,0.855957,0.998535,0.304097,0.051534,0.827696,0.952100
0.401419,56576,0.869141,1.000000,0.250168,0.032176,0.851806,0.969236
0.461359,65024,0.935059,0.996582,0.172305,0.054769,0.886737,0.950349
0.495871,69888,0.925293,0.974609,0.208982,0.117841,0.867834,0.900744
0.555811,78336,0.928223,0.992188,0.206392,0.062110,0.867836,0.945858
0.648446,91392,0.963867,0.962891,0.124475,0.132776,0.908110,0.898343
0.739265,104192,0.911133,0.992188,0.209325,0.061676,0.857622,0.946157
0.855513,120576,0.937988,0.988281,0.158664,0.060189,0.892911,0.950250
0.924535,130304,0.865723,0.972168,0.316680,0.103865,0.808128,0.917067
1.035334,145920,0.962891,0.962402,0.120670,0.146697,0.913518,0.884189
1.142500,161024,0.929199,0.953125,0.166944,0.157829,0.882069,0.877099
1.213339,171008,0.910645,0.963867,0.216978,0.128235,0.854672,0.898838
1.275096,179712,0.966309,0.946777,0.115701,0.166880,0.914881,0.872387
1.373180,193536,0.924316,0.948730,0.195703,0.167587,0.871124,0.875099
1.480346,208640,0.869629,0.977539,0.275726,0.104333,0.825083,0.914674
1.583880,223232,0.895996,0.985840,0.246878,0.075353,0.846177,0.937222
1.669249,235264,0.926270,0.964355,0.197599,0.145265,0.866719,0.887049
1.731006,243968,0.969238,0.985352,0.119676,0.120890,0.909629,0.897371
1.847254,260352,0.942383,0.966309,0.158910,0.126754,0.892842,0.900712
1.939889,273408,0.943359,0.992188,0.146755,0.069274,0.901997,0.939041
2.001646,282112,0.897461,0.977051,0.235793,0.121510,0.841534,0.898316
2.072485,292096,0.894043,0.994629,0.239965,0.062479,0.853189,0.944205
2.181467,307456,0.915527,0.969238,0.196650,0.125774,0.871473,0.903295
2.279552,321280,0.896973,0.991699,0.235669,0.070616,0.855543,0.938562
2.357656,332288,0.956055,0.895020,0.132083,0.258610,0.907650,0.814750
2.482986,349952,0.927246,0.978027,0.170845,0.120818,0.884016,0.899855
2.602866,366848,0.907227,0.980957,0.226246,0.109977,0.848427,0.909414
2.680971,377856,0.873047,0.992676,0.282666,0.076871,0.824823,0.932658
2.769973,390400,0.918945,0.979492,0.199390,0.095045,0.873051,0.922122
2.868057,404224,0.954102,0.915527,0.137276,0.248156,0.900967,0.815711
2.967958,418304,0.893066,0.973633,0.235395,0.112641,0.847819,0.908971
3.087839,435200,0.909668,0.966309,0.206151,0.147068,0.860538,0.883010
3.189556,449536,0.948730,0.913574,0.140603,0.255086,0.896096,0.816878
3.320335,467968,0.897949,0.993164,0.229543,0.073345,0.852192,0.937074
3.432950,483840,0.897461,0.979004,0.242818,0.090584,0.844477,0.926531
3.545565,499712,0.948242,0.959961,0.154165,0.148828,0.896633,0.882170
3.663630,516352,0.922852,0.931152,0.203904,0.214077,0.864179,0.842529
3.808940,536832,0.874512,0.989746,0.284266,0.086934,0.816744,0.924769
3.903392,550144,0.957520,0.881836,0.126737,0.286415,0.907443,0.794020
4.030538,568064,0.942871,0.961914,0.149117,0.144214,0.897037,0.888834
4.152235,585216,0.933105,0.950684,0.171682,0.174362,0.882757,0.866350
4.297545,605696,0.902344,0.985840,0.214951,0.081403,0.857583,0.931223
4.388364,618496,0.815918,0.987793,0.387514,0.068601,0.781571,0.944854
4.520959,637184,0.938965,0.958496,0.151645,0.151136,0.898009,0.887532
4.619044,651008,0.914062,0.937500,0.203736,0.197548,0.868074,0.856299
4.737108,667648,0.925781,0.945801,0.192666,0.180655,0.864221,0.860026
4.849723,683520,0.897949,0.979492,0.236877,0.090127,0.852843,0.929114
4.951440,697856,0.873535,0.979004,0.276310,0.095058,0.830268,0.921778
5.049525,711680,0.897949,0.947266,0.225151,0.170682,0.851992,0.869960
5.194835,732160,0.901367,0.924805,0.225941,0.217293,0.850627,0.843005
5.309266,748288,0.937012,0.936035,0.172902,0.205884,0.879181,0.847631
5.454576,768768,0.951660,0.947754,0.148424,0.170312,0.898973,0.873605
