time,mem_used,mem_avail
2023-05-01 18:00:29.950949,10211000,21151244
2023-05-01 18:00:59.982344,10667476,20694512
2023-05-01 18:01:30.013938,10719904,20641828
2023-05-01 18:02:00.045503,10945460,20416528
2023-05-01 18:02:30.076903,10594596,20767136
2023-05-01 18:03:00.108300,10469424,20888340
2023-05-01 18:03:30.139980,10510120,20851612
2023-05-01 18:04:00.171441,10555424,20806748
2023-05-01 18:04:30.202777,11006044,20359980
2023-05-01 18:05:00.232757,11059756,20302488
2023-05-01 18:05:30.260725,11098172,20263816
2023-05-01 18:06:00.279652,11315308,20046424
2023-05-01 18:06:30.311138,10793684,20564368
2023-05-01 18:07:00.342709,10832580,20529216
2023-05-01 18:07:30.374221,10874072,20488172
2023-05-01 18:08:00.392223,11337616,20022196
2023-05-01 18:08:30.420679,11399384,19962220
2023-05-01 18:09:00.452027,11441756,19920360
2023-05-01 18:09:30.480756,11471204,19890656
2023-05-01 18:10:00.512127,11159856,20202324
2023-05-01 18:10:30.543639,11174296,20187628
2023-05-01 18:11:00.575178,11214184,20151584
2023-05-01 18:11:30.606577,11293520,20061868
2023-05-01 18:12:00.638100,11321648,20040084
2023-05-01 18:12:30.668737,11759144,19602972
2023-05-01 18:13:00.696753,11794600,19567260
2023-05-01 18:13:30.728062,11470160,19892092
2023-05-01 18:14:00.759558,11505832,19856156
2023-05-01 18:14:30.791046,11531556,19830176
2023-05-01 18:15:00.820897,11619684,19735968
2023-05-01 18:15:30.852349,11642168,19719628
2023-05-01 18:16:00.858548,11677204,19685040
2023-05-01 18:16:30.886807,12129196,19236892
2023-05-01 18:17:00.918271,11811256,19550348
2023-05-01 18:17:30.924739,11839336,19522780
2023-05-01 18:18:00.956037,11883576,19478284
2023-05-01 18:18:30.984753,11963060,19392716
2023-05-01 18:19:01.016113,11127652,20234280
2023-05-01 18:19:31.047424,11166888,20195364
2023-05-01 18:20:01.058369,11594940,19767056
2023-05-01 18:20:31.088674,11467220,19894392
2023-05-01 18:21:01.095229,11306388,20055736
2023-05-01 18:21:31.126750,11341676,20020192
2023-05-01 18:22:01.158218,11395224,19962740
2023-05-01 18:22:31.189751,11459936,19901996
2023-05-01 18:23:01.221336,11491176,19874600
2023-05-01 18:23:31.228818,11924780,19437408
2023-05-01 18:24:01.256691,11736080,19625724
2023-05-01 18:24:31.288206,11570204,19792048
2023-05-01 18:25:01.319697,11599848,19762148
2023-05-01 18:25:31.348827,11675060,19680792
2023-05-01 18:26:01.376826,11675440,19686556
2023-05-01 18:26:31.407972,11712208,19649532
2023-05-01 18:27:01.439568,12153544,19208644
2023-05-01 18:27:31.468286,12016780,19345024
2023-05-01 18:28:01.499856,11841568,19519980
2023-05-01 18:28:31.531394,11890452,19475772
2023-05-01 18:29:01.562870,11948072,19407268
2023-05-01 18:29:31.592541,11988648,19373540
2023-05-01 18:30:01.620752,12032336,19329596
2023-05-01 18:30:31.652812,12531472,18830204
2023-05-01 18:31:01.680847,12343404,19018592
2023-05-01 18:31:31.708729,12386520,18975220
2023-05-01 18:32:01.740158,12231748,19130376
2023-05-01 18:32:31.771707,12282596,19074920
2023-05-01 18:33:01.803280,12315056,19047060
